Strategy,Precision,Recall,F1,False Positive Rate,Alert Rate
Max F1,0.5725,0.38166666666666665,0.458,0.003106097760340036,0.007187393312130523
Recall >= 80%,0.10689075630252101,0.795,0.18844444444444444,0.07239387499318838,0.08018435663845615
