Strategy,Precision,Recall,F1,False Positive Rate,Alert Rate
Max F1,0.21149425287356322,0.46,0.28976377952755905,0.018691079505204076,0.02344887068082583
Recall >= 80%,0.1339994525047906,0.8158333333333333,0.23019045379731953,0.057462808566290664,0.065638869423032
