Strategy,Precision,Recall,F1,False Positive Rate,Alert Rate
Max F1,0.2993960310612597,0.2891666666666667,0.29419245442984315,0.0073747116415090914,0.010412736060949095
Recall >= 80%,0.13184370613008892,0.9391666666666667,0.23122691834222406,0.06739868853650119,0.07679729754011463
