epoch,train_loss,valid_loss
1,0.023925478605392708,0.003629851535677026
2,0.002733162565689378,0.002005615543343109
3,0.0020398822299863098,0.0017954104277292206
4,0.0017681260256963963,0.00145855356268873
5,0.0014804480283188291,0.0013491651053356563
6,0.0013753465252529893,0.001261079111647756
7,0.001322517352641813,0.0012316492614990117
8,0.001294768221911375,0.001208398661630679
9,0.0012781734059341444,0.001201874468751035
10,0.0012687737585139773,0.0011946179880129911
11,0.00125991909826966,0.0012065000103765422
12,0.0012521163443286422,0.0011911823801413115
13,0.0012427532088212943,0.0011711003745629217
14,0.0012335624488730552,0.001160161775939624
15,0.00122481157416963,0.0011544707698589928
16,0.0012164879947436306,0.0011509130485873556
17,0.0012099074854974947,0.0011385051201969617
18,0.0012050342959446093,0.0011368321914799317
19,0.001200991402647492,0.0011418977358751512
20,0.0011977471241361312,0.001135331195484758
